Sample	R1	R2	plate	location	name	group	genotype	sex
MB039-E4	/mnt/data/sbusi/vip/data/fastq/MB039_E4_S52_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB039_E4_S52_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E4	MB039	VIP	HET	Female
MB040-D04	/mnt/data/sbusi/vip/data/fastq/MB040_D04_S40_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB040_D04_S40_R2_001.fastq.gz	180817_MB	D04	MB040	VPAC1	KO	Male
MB040-E5	/mnt/data/sbusi/vip/data/fastq/MB040_E5_S53_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB040_E5_S53_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E5	MB040	VIP	HET	Female
MB041-D05	/mnt/data/sbusi/vip/data/fastq/MB041_D05_S41_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB041_D05_S41_R2_001.fastq.gz	180817_MB	D05	MB041	VPAC1	WT	Female
MB041-E6	/mnt/data/sbusi/vip/data/fastq/MB041_E6_S54_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB041_E6_S54_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E6	MB041	VIP	KO	Female
MB042-D06	/mnt/data/sbusi/vip/data/fastq/MB042_D06_S42_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB042_D06_S42_R2_001.fastq.gz	180817_MB	D06	MB042	VPAC1	WT	Female
MB042-E7	/mnt/data/sbusi/vip/data/fastq/MB042_E7_S55_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB042_E7_S55_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E7	MB042	VIP	KO	Female
MB043-D07	/mnt/data/sbusi/vip/data/fastq/MB043_D07_S43_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB043_D07_S43_R2_001.fastq.gz	180817_MB	D07	MB043	VPAC1	WT	Female
MB043-E8	/mnt/data/sbusi/vip/data/fastq/MB043_E8_S56_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB043_E8_S56_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E8	MB043	VIP	KO	Female
MB044-D08	/mnt/data/sbusi/vip/data/fastq/MB044_D08_S44_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB044_D08_S44_R2_001.fastq.gz	180817_MB	D08	MB044	VPAC1	WT	Female
MB044-E9	/mnt/data/sbusi/vip/data/fastq/MB044_E9_S57_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB044_E9_S57_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E9	MB044	VIP	KO	Female
MB045-D09	/mnt/data/sbusi/vip/data/fastq/MB045_D09_S45_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB045_D09_S45_R2_001.fastq.gz	180817_MB	D09	MB045	VPAC1	WT	Female
MB045-E10	/mnt/data/sbusi/vip/data/fastq/MB045_E10_S58_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB045_E10_S58_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E10	MB045	VIP	KO	Female
MB046-D10	/mnt/data/sbusi/vip/data/fastq/MB046_D10_S46_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB046_D10_S46_R2_001.fastq.gz	180817_MB	D10	MB046	VPAC1	WT	Female
MB046-E11	/mnt/data/sbusi/vip/data/fastq/MB046_E11_S59_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB046_E11_S59_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E11	MB046	VIP	KO	Female
MB047-D11	/mnt/data/sbusi/vip/data/fastq/MB047_D11_S47_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB047_D11_S47_R2_001.fastq.gz	180817_MB	D11	MB047	VPAC1	WT	Female
MB047-E12	/mnt/data/sbusi/vip/data/fastq/MB047_E12_S60_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB047_E12_S60_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E12	MB047	VIP	KO	Female
MB048-D12	/mnt/data/sbusi/vip/data/fastq/MB048_D12_S48_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB048_D12_S48_R2_001.fastq.gz	180817_MB	D12	MB048	VPAC1	WT	Female
MB048-F1	/mnt/data/sbusi/vip/data/fastq/MB048_F1_S61_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB048_F1_S61_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	F1	MB048	VIP	KO	Female
MB049-E01	/mnt/data/sbusi/vip/data/fastq/MB049_E01_S49_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB049_E01_S49_R2_001.fastq.gz	180817_MB	E01	MB049	VPAC1	HET	Female
MB050-E02	/mnt/data/sbusi/vip/data/fastq/MB050_E02_S50_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB050_E02_S50_R2_001.fastq.gz	180817_MB	E02	MB050	VPAC1	HET	Female
MB051-E03	/mnt/data/sbusi/vip/data/fastq/MB051_E03_S51_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB051_E03_S51_R2_001.fastq.gz	180817_MB	E03	MB051	VPAC1	HET	Female
MB052-E04	/mnt/data/sbusi/vip/data/fastq/MB052_E04_S52_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB052_E04_S52_R2_001.fastq.gz	180817_MB	E04	MB052	VPAC1	HET	Female
MB053-E05	/mnt/data/sbusi/vip/data/fastq/MB053_E05_S53_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB053_E05_S53_R2_001.fastq.gz	180817_MB	E05	MB053	VPAC1	HET	Female
MB054-E06	/mnt/data/sbusi/vip/data/fastq/MB054_E06_S54_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB054_E06_S54_R2_001.fastq.gz	180817_MB	E06	MB054	VPAC1	HET	Female
MB055-E07	/mnt/data/sbusi/vip/data/fastq/MB055_E07_S55_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB055_E07_S55_R2_001.fastq.gz	180817_MB	E07	MB055	VPAC1	HET	Female
MB056-E08	/mnt/data/sbusi/vip/data/fastq/MB056_E08_S56_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB056_E08_S56_R2_001.fastq.gz	180817_MB	E08	MB056	VPAC1	HET	Female
MB057-E09	/mnt/data/sbusi/vip/data/fastq/MB057_E09_S57_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB057_E09_S57_R2_001.fastq.gz	180817_MB	E09	MB057	VPAC1	KO	Female
MB058-E10	/mnt/data/sbusi/vip/data/fastq/MB058_E10_S58_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB058_E10_S58_R2_001.fastq.gz	180817_MB	E10	MB058	VPAC1	KO	Female
MB059-E11	/mnt/data/sbusi/vip/data/fastq/MB059_E11_S59_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB059_E11_S59_R2_001.fastq.gz	180817_MB	E11	MB059	VPAC1	KO	Female
MB060-E12	/mnt/data/sbusi/vip/data/fastq/MB060_E12_S60_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB060_E12_S60_R2_001.fastq.gz	180817_MB	E12	MB060	VPAC1	KO	Female
MB061-F01	/mnt/data/sbusi/vip/data/fastq/MB061_F01_S61_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB061_F01_S61_R2_001.fastq.gz	180817_MB	F01	MB061	VPAC1	KO	Female
MB062-F02	/mnt/data/sbusi/vip/data/fastq/MB062_F02_S62_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB062_F02_S62_R2_001.fastq.gz	180817_MB	F02	MB062	VPAC1	KO	Female
MB063-F03	/mnt/data/sbusi/vip/data/fastq/MB063_F03_S63_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB063_F03_S63_R2_001.fastq.gz	180817_MB	F03	MB063	VPAC1	KO	Female
MB064-F04	/mnt/data/sbusi/vip/data/fastq/MB064_F04_S64_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB064_F04_S64_R2_001.fastq.gz	180817_MB	F04	MB064	VPAC1	KO	Female
MB065-F05	/mnt/data/sbusi/vip/data/fastq/MB065_F05_S65_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB065_F05_S65_R2_001.fastq.gz	180817_MB	F05	MB065	VPAC2	WT	Male
MB066-F06	/mnt/data/sbusi/vip/data/fastq/MB066_F06_S66_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB066_F06_S66_R2_001.fastq.gz	180817_MB	F06	MB066	VPAC2	WT	Male
MB067-F07	/mnt/data/sbusi/vip/data/fastq/MB067_F07_S67_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB067_F07_S67_R2_001.fastq.gz	180817_MB	F07	MB067	VPAC2	WT	Male
MB068-F08	/mnt/data/sbusi/vip/data/fastq/MB068_F08_S68_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB068_F08_S68_R2_001.fastq.gz	180817_MB	F08	MB068	VPAC2	WT	Male
MB069-F09	/mnt/data/sbusi/vip/data/fastq/MB069_F09_S69_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB069_F09_S69_R2_001.fastq.gz	180817_MB	F09	MB069	VPAC2	WT	Male
MB070-F10	/mnt/data/sbusi/vip/data/fastq/MB070_F10_S70_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB070_F10_S70_R2_001.fastq.gz	180817_MB	F10	MB070	VPAC2	WT	Male
MB071-F11	/mnt/data/sbusi/vip/data/fastq/MB071_F11_S71_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB071_F11_S71_R2_001.fastq.gz	180817_MB	F11	MB071	VPAC2	WT	Male
MB072-F12	/mnt/data/sbusi/vip/data/fastq/MB072_F12_S72_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB072_F12_S72_R2_001.fastq.gz	180817_MB	F12	MB072	VPAC2	WT	Male
MB073-G01	/mnt/data/sbusi/vip/data/fastq/MB073_G01_S73_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB073_G01_S73_R2_001.fastq.gz	180817_MB	G01	MB073	VPAC2	HET	Male
MB074-G02	/mnt/data/sbusi/vip/data/fastq/MB074_G02_S74_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB074_G02_S74_R2_001.fastq.gz	180817_MB	G02	MB074	VPAC2	HET	Male
MB075-G03	/mnt/data/sbusi/vip/data/fastq/MB075_G03_S75_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB075_G03_S75_R2_001.fastq.gz	180817_MB	G03	MB075	VPAC2	HET	Male
MB076-G04	/mnt/data/sbusi/vip/data/fastq/MB076_G04_S76_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB076_G04_S76_R2_001.fastq.gz	180817_MB	G04	MB076	VPAC2	HET	Male
MB077-G05	/mnt/data/sbusi/vip/data/fastq/MB077_G05_S77_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB077_G05_S77_R2_001.fastq.gz	180817_MB	G05	MB077	VPAC2	HET	Male
MB078-G06	/mnt/data/sbusi/vip/data/fastq/MB078_G06_S78_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB078_G06_S78_R2_001.fastq.gz	180817_MB	G06	MB078	VPAC2	HET	Male
MB079-G07	/mnt/data/sbusi/vip/data/fastq/MB079_G07_S79_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB079_G07_S79_R2_001.fastq.gz	180817_MB	G07	MB079	VPAC2	HET	Male
MB080-G08	/mnt/data/sbusi/vip/data/fastq/MB080_G08_S80_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB080_G08_S80_R2_001.fastq.gz	180817_MB	G08	MB080	VPAC2	HET	Male
MB081-G09	/mnt/data/sbusi/vip/data/fastq/MB081_G09_S81_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB081_G09_S81_R2_001.fastq.gz	180817_MB	G09	MB081	VPAC2	KO	Male
MB082-G10	/mnt/data/sbusi/vip/data/fastq/MB082_G10_S82_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB082_G10_S82_R2_001.fastq.gz	180817_MB	G10	MB082	VPAC2	KO	Male
MB083-G11	/mnt/data/sbusi/vip/data/fastq/MB083_G11_S83_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB083_G11_S83_R2_001.fastq.gz	180817_MB	G11	MB083	VPAC2	KO	Male
MB084-G12	/mnt/data/sbusi/vip/data/fastq/MB084_G12_S84_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB084_G12_S84_R2_001.fastq.gz	180817_MB	G12	MB084	VPAC2	KO	Male
MB085-H01	/mnt/data/sbusi/vip/data/fastq/MB085_H01_S85_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB085_H01_S85_R2_001.fastq.gz	180817_MB	H01	MB085	VPAC2	KO	Male
MB086-H02	/mnt/data/sbusi/vip/data/fastq/MB086_H02_S86_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB086_H02_S86_R2_001.fastq.gz	180817_MB	H02	MB086	VPAC2	KO	Male
MB087-H03	/mnt/data/sbusi/vip/data/fastq/MB087_H03_S87_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB087_H03_S87_R2_001.fastq.gz	180817_MB	H03	MB087	VPAC2	KO	Male
MB088-H04	/mnt/data/sbusi/vip/data/fastq/MB088_H04_S88_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB088_H04_S88_R2_001.fastq.gz	180817_MB	H04	MB088	VPAC2	KO	Male
MB089-H05	/mnt/data/sbusi/vip/data/fastq/MB089_H05_S89_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB089_H05_S89_R2_001.fastq.gz	180817_MB	H05	MB089	VPAC2	WT	Female
MB090-H06	/mnt/data/sbusi/vip/data/fastq/MB090_H06_S90_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB090_H06_S90_R2_001.fastq.gz	180817_MB	H06	MB090	VPAC2	WT	Female
MB091-H07	/mnt/data/sbusi/vip/data/fastq/MB091_H07_S91_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB091_H07_S91_R2_001.fastq.gz	180817_MB	H07	MB091	VPAC2	WT	Female
MB092-H08	/mnt/data/sbusi/vip/data/fastq/MB092_H08_S92_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB092_H08_S92_R2_001.fastq.gz	180817_MB	H08	MB092	VPAC2	WT	Female
MB093-H09	/mnt/data/sbusi/vip/data/fastq/MB093_H09_S93_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB093_H09_S93_R2_001.fastq.gz	180817_MB	H09	MB093	VPAC2	WT	Female
MB097-H10	/mnt/data/sbusi/vip/data/fastq/MB097_H10_S94_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB097_H10_S94_R2_001.fastq.gz	180817_MB	H10	MB097	VPAC2	HET	Female
MB098-H11	/mnt/data/sbusi/vip/data/fastq/MB098_H11_S95_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB098_H11_S95_R2_001.fastq.gz	180817_MB	H11	MB098	VPAC2	HET	Female
MB099-H12	/mnt/data/sbusi/vip/data/fastq/MB099_H12_S96_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB099_H12_S96_R2_001.fastq.gz	180817_MB	H12	MB099	VPAC2	HET	Female
MB100-A01	/mnt/data/sbusi/vip/data/fastq/MB100_A01_S1_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB100_A01_S1_R2_001.fastq.gz	180817_MB_JD_MJ_MJ_PA_AL	A01	MB100	VPAC2	HET	Female
MB101-A02	/mnt/data/sbusi/vip/data/fastq/MB101_A02_S2_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB101_A02_S2_R2_001.fastq.gz	180817_MB_JD_MJ_MJ_PA_AL	A02	MB101	VPAC2	HET	Female
MB102-A03	/mnt/data/sbusi/vip/data/fastq/MB102_A03_S3_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB102_A03_S3_R2_001.fastq.gz	180817_MB_JD_MJ_MJ_PA_AL	A03	MB102	VPAC2	HET	Female
MB103-A04	/mnt/data/sbusi/vip/data/fastq/MB103_A04_S4_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB103_A04_S4_R2_001.fastq.gz	180817_MB_JD_MJ_MJ_PA_AL	A04	MB103	VPAC2	HET	Female
MB104-A05	/mnt/data/sbusi/vip/data/fastq/MB104_A05_S5_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB104_A05_S5_R2_001.fastq.gz	180817_MB_JD_MJ_MJ_PA_AL	A05	MB104	VPAC2	HET	Female
MB105-A06	/mnt/data/sbusi/vip/data/fastq/MB105_A06_S6_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB105_A06_S6_R2_001.fastq.gz	180817_MB_JD_MJ_MJ_PA_AL	A06	MB105	VPAC2	KO	Female
MB106-A07	/mnt/data/sbusi/vip/data/fastq/MB106_A07_S7_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB106_A07_S7_R2_001.fastq.gz	180817_MB_JD_MJ_MJ_PA_AL	A07	MB106	VPAC2	KO	Female
MB107-A08	/mnt/data/sbusi/vip/data/fastq/MB107_A08_S8_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB107_A08_S8_R2_001.fastq.gz	180817_MB_JD_MJ_MJ_PA_AL	A08	MB107	VPAC2	KO	Female
MB108-A09	/mnt/data/sbusi/vip/data/fastq/MB108_A09_S9_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB108_A09_S9_R2_001.fastq.gz	180817_MB_JD_MJ_MJ_PA_AL	A09	MB108	VPAC2	KO	Female
MB109-A10	/mnt/data/sbusi/vip/data/fastq/MB109_A10_S10_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB109_A10_S10_R2_001.fastq.gz	180817_MB_JD_MJ_MJ_PA_AL	A10	MB109	VPAC2	KO	Female
MB110-A11	/mnt/data/sbusi/vip/data/fastq/MB110_A11_S11_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB110_A11_S11_R2_001.fastq.gz	180817_MB_JD_MJ_MJ_PA_AL	A11	MB110	VPAC2	KO	Female
MB111-A12	/mnt/data/sbusi/vip/data/fastq/MB111_A12_S12_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB111_A12_S12_R2_001.fastq.gz	180817_MB_JD_MJ_MJ_PA_AL	A12	MB111	VPAC2	KO	Female
MB112-B01	/mnt/data/sbusi/vip/data/fastq/MB112_B01_S13_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB112_B01_S13_R2_001.fastq.gz	180817_MB_JD_MJ_MJ_PA_AL	B01	MB112	VPAC2	KO	Female
